"NCBI.ID","nuSSU","nuLSU","AbdA","Wg","LR","COI","EF1aF1","EF1aF2","ArgK","CAD","Top1","Ubx","Taxon","Genus","Tribe","Subfamily","Family"
"369138","DQ353494","DQ353619","DQ352983",NA,"DQ353199","DQ353341",NA,NA,NA,NA,NA,NA,"Froggattella latispina","Froggattella",NA,"Dolichoderinae","Formicidae"
"610067","FJ939764","FJ939796","FJ939828","FJ940032","FJ939999",NA,"FJ940064","FJ939967","FJ939866","FJ939920",NA,NA,"Gracilidris pombero","Gracilidris",NA,"Dolichoderinae","Formicidae"
"610584",NA,NA,NA,NA,NA,"KX053512",NA,NA,NA,NA,NA,NA,"Iridomyrmex anceps","Iridomyrmex",NA,"Dolichoderinae","Formicidae"
"357478",NA,NA,NA,NA,NA,"DQ249988",NA,NA,NA,NA,NA,NA,"Iridomyrmex gracilis","Iridomyrmex",NA,"Dolichoderinae","Formicidae"
"715509","FJ939766","FJ939798","FJ939830","FJ940034","FJ940001",NA,"FJ940066","FJ939969","FJ939868","FJ939922",NA,NA,"Iridomyrmex pallidus","Iridomyrmex",NA,"Dolichoderinae","Formicidae"
"561532",NA,NA,NA,"FJ161863","FJ161811","FJ161708",NA,NA,NA,NA,NA,NA,"Iridomyrmex purpureus","Iridomyrmex",NA,"Dolichoderinae","Formicidae"
"610633","FJ939767","FJ939799","FJ939831","JN134671","JN134566","JN134882","FJ940067","JN134460","FJ939869","FJ939923",NA,NA,"Iridomyrmex sanguineus","Iridomyrmex",NA,"Dolichoderinae","Formicidae"
"369146","DQ353492","DQ353605","DQ352912","DQ353045","DQ353207","DQ353375",NA,NA,NA,NA,NA,NA,"Iridomyrmex spadius","Iridomyrmex",NA,"Dolichoderinae","Formicidae"
"985785",NA,"HQ207200",NA,"HQ207461","HQ207394","HQ207334",NA,NA,"HQ207266",NA,NA,NA,"Leptomyrmex burwelli","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"985786",NA,"HQ207204",NA,"HQ207465","HQ207398","HQ207338",NA,NA,"HQ207271",NA,NA,NA,"Leptomyrmex cnemidatus","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"611112",NA,"HQ207206",NA,"HQ207467","HQ207400","HQ207340",NA,NA,"HQ207273",NA,NA,NA,"Leptomyrmex darlingtoni","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"985787","KU215799","KU215804","KU215809","HQ207468","HQ207401","HQ207341","KU215825","KU215830","HQ207274","KU215815",NA,NA,"Leptomyrmex dolichoscapus","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"292136","AY703494","AY703561","AY703695","KR829182","KR829555","HQ207346","EF013275","EF013437","HQ207277","FJ939925","KR830802","KR830593","Leptomyrmex erythrocephalus","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"611124",NA,"HQ207214",NA,"HQ207475","HQ207408","HQ207347",NA,NA,"HQ207281",NA,NA,NA,"Leptomyrmex flavitarsus","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"611125",NA,"HQ207218",NA,"HQ207479","HQ207412","HQ207350",NA,NA,"HQ207283",NA,NA,NA,"Leptomyrmex fragilis","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"985788",NA,"HQ207219",NA,"HQ207480","HQ207413","HQ207351",NA,NA,"HQ207286",NA,NA,NA,"Leptomyrmex garretti","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"985789","KU215800","KU215805","KU215810","HQ207482","HQ207415","HQ207352","KU215826","KU215831","HQ207288","KU215816",NA,NA,"Leptomyrmex geniculatus","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"611131",NA,"HQ207225",NA,"HQ207486","HQ207419","HQ207354",NA,NA,"HQ207291",NA,NA,NA,"Leptomyrmex mjobergi","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"611132",NA,"HQ207227",NA,"HQ207488","HQ207421","HQ207356",NA,NA,"HQ207294",NA,NA,NA,"Leptomyrmex niger","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"985790",NA,"HQ207228",NA,"HQ207489","HQ207422","HQ207357",NA,NA,"HQ207295",NA,NA,NA,"Leptomyrmex nigriceps","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"611133",NA,"HQ207231",NA,"HQ207492","HQ207425","HQ207359",NA,NA,"HQ207296",NA,NA,NA,"Leptomyrmex nigriventris","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"611136",NA,"HQ207234",NA,"HQ207495","HQ207428","HQ207361",NA,NA,"HQ207301",NA,NA,NA,"Leptomyrmex pallens","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"611139",NA,"HQ207237",NA,"HQ207498","HQ207431","HQ207365",NA,NA,"HQ207303",NA,NA,NA,"Leptomyrmex puberulus","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"1844776","KU215798","KU215803","KU215808","KU215835","KU215834",NA,"KU215824","KU215829","KU215813","KU215814",NA,NA,"Leptomyrmex relictus","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"985791",NA,"HQ207241",NA,"HQ207502","HQ207435","HQ207369",NA,NA,"HQ207308",NA,NA,NA,"Leptomyrmex rothneyi","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"985792",NA,"HQ207244",NA,"HQ207505","HQ207438","HQ207371",NA,NA,"HQ207311",NA,NA,NA,"Leptomyrmex ruficeps","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"985793",NA,"HQ207250",NA,"HQ207511","HQ207444","HQ207376",NA,NA,"HQ207315",NA,NA,NA,"Leptomyrmex rufipes","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"985794","KU215801","KU215806","KU215811","HQ207513","HQ207446","HQ207378","KU215827","KU215832","HQ207319","KU215817",NA,NA,"Leptomyrmex rufithorax","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"985795",NA,"HQ207256",NA,"HQ207517","HQ207450","HQ207382",NA,NA,"HQ207323",NA,NA,NA,"Leptomyrmex tibialis","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"55082","KU215802","KU215807","KU215812","HQ207519","HQ207452","HQ207384","KU215828","KU215833","HQ207325","KU215818",NA,NA,"Leptomyrmex unicolor","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"611140",NA,"HQ207260",NA,"HQ207521","HQ207454","HQ207386",NA,NA,"HQ207327",NA,NA,NA,"Leptomyrmex varians","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"611147",NA,"HQ207264",NA,"HQ207525","HQ207458","HQ207388",NA,NA,"HQ207328",NA,NA,NA,"Leptomyrmex wiburdi","Leptomyrmex",NA,"Dolichoderinae","Formicidae"
"561533",NA,NA,NA,"FJ161865","FJ161813","FJ161710",NA,NA,NA,NA,NA,NA,"Linepithema anathema","Linepithema",NA,"Dolichoderinae","Formicidae"
"561534",NA,NA,NA,"FJ161867","FJ161815","FJ161712",NA,NA,NA,NA,NA,NA,"Linepithema angulatum","Linepithema",NA,"Dolichoderinae","Formicidae"
"561535",NA,NA,NA,"FJ161868","FJ161816","FJ161713",NA,NA,NA,NA,NA,NA,"Linepithema aztecoides","Linepithema",NA,"Dolichoderinae","Formicidae"
"561536",NA,NA,NA,"FJ161869","FJ161818","FJ161715",NA,NA,NA,NA,NA,NA,"Linepithema cerradense","Linepithema",NA,"Dolichoderinae","Formicidae"
"561537",NA,NA,NA,"FJ161871","FJ161819","FJ161716",NA,NA,NA,NA,NA,NA,"Linepithema cryptobioticum","Linepithema",NA,"Dolichoderinae","Formicidae"
